"Var","Freq","Perc","Mean","SD"
"AGE1",NA,NA,38.7733333333333,12.6603847195214
"AGE2_18_29",159,0.235555555555556,NA,NA
"AGE2_30_44",325,0.481481481481481,NA,NA
"AGE2_45_59",130,0.192592592592593,NA,NA
"AGE2_60_UP",61,0.0903703703703704,NA,NA
"GEND_Male",350,0.518518518518518,NA,NA
"GEND_Female",325,0.481481481481481,NA,NA
"RACE_White",496,0.734814814814815,NA,NA
"RACE_Other",179,0.265185185185185,NA,NA
"EDUC_L_HS",174,0.257777777777778,NA,NA
"EDUC_Bach",281,0.416296296296296,NA,NA
"EDUC_Mast",220,0.325925925925926,NA,NA
"HHADULTS",NA,NA,1.2637037037037,1.10237182971566
"HHKIDS",NA,NA,0.98962962962963,1.06392658280611
"HHWORKERS",NA,NA,0.841010401188707,0.857380521427101
"HHINC_000_050",221,0.327407407407407,NA,NA
"HHINC_050_100",249,0.368888888888889,NA,NA
"HHINC_100__UP",205,0.303703703703704,NA,NA
"PLACETYPE_Urban",278,0.411851851851852,NA,NA
"PLACETYPE_Sub_Urban",99,0.146666666666667,NA,NA
"PLACETYPE_Suburban",198,0.293333333333333,NA,NA
"PLACETYPE_Rural_all",100,0.148148148148148,NA,NA
"WDAYS",NA,NA,5.00148148148148,0.821627644333198
"CDAYS",NA,NA,4.71703703703704,1.06673054540016
"COMMUTE_YesCurrently",546,0.808888888888889,NA,NA
"COMMUTE_NoUsedTo",129,0.191111111111111,NA,NA
"MODE_AutoD",538,0.797037037037037,NA,NA
"MODE_AutoP",50,0.0740740740740741,NA,NA
"MODE_Transit",55,0.0814814814814815,NA,NA
"MODE_Walk",22,0.0325925925925926,NA,NA
"MODE_Bike",10,0.0148148148148148,NA,NA
"PARKCOST_Yes",92,0.136296296296296,NA,NA
"PARKCOST_No",583,0.863703703703704,NA,NA
"TOLLCOST_Yes",70,0.103703703703704,NA,NA
"TOLLCOST_No",605,0.896296296296296,NA,NA
"TIMEDEP_Morning",532,0.788148148148148,NA,NA
"TIMEDEP_AfterEveNight",143,0.211851851851852,NA,NA
"FLEXWORK_Yes",397,0.588148148148148,NA,NA
"FLEXWORK_No",278,0.411851851851852,NA,NA
"FLEXINC_Yes",254,0.639798488664987,NA,NA
"FLEXINC_No",143,0.360201511335013,NA,NA
"PRIMWORK_Yes",522,0.773333333333333,NA,NA
"PRIMWORK_No",153,0.226666666666667,NA,NA
"IMP_TT",NA,NA,0.485925925925926,1.20373817868069
"IMP_TC",NA,NA,0.574171029668412,1.12667725105301
"IMP_WT",NA,NA,0.635555555555556,1.18242989432569
"IMP_IN",NA,NA,1.26518518518519,0.949411696532718
"SAT_WORK",NA,NA,1.19259259259259,0.930016242928703
"SAT_COMM",NA,NA,1.03851851851852,0.985803170504655
"ENJOYWC_Work",489,0.724444444444444,NA,NA
"ENJOYWC_Comm",186,0.275555555555556,NA,NA
"IDEALTT_00___",60,0.0888888888888889,NA,NA
"IDEALTT_01_05",157,0.232592592592593,NA,NA
"IDEALTT_06_15",335,0.496296296296296,NA,NA
"IDEALTT_15_UP",123,0.182222222222222,NA,NA
